Empreendimento;Situação;Data Entrega; Unidades Habitacionais ;Programa;Ação PPA;Município;Região Administrativa
NOVA EUROPA A1;COMERCIALIZADA;19/12/1991; 214 ;SH3;;Nova Europa;CENTRAL
NOVA EUROPA A2;COMERCIALIZADA;26/08/1994; 34 ;SH4;;Nova Europa;CENTRAL
NOVA EUROPA B;COMERCIALIZADA;21/10/2011; 50 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Nova Europa;CENTRAL
NOVA EUROPA C;COMERCIALIZADA;17/06/2004; 50 ;Autoconstrução;;Nova Europa;CENTRAL
NOVA EUROPA D;COMERCIALIZADA;24/11/2006; 50 ;Autoconstrução;;Nova Europa;CENTRAL
NOVA GRANADA A;COMERCIALIZADA;01/01/1977; 24 ;CEESP;;Nova Granada;SÃO JOSÉ DO RIO PRETO
NOVA GRANADA B;COMERCIALIZADA;27/05/1990; 86 ;SH2;;Nova Granada;SÃO JOSÉ DO RIO PRETO
NOVA GRANADA C;COMERCIALIZADA;13/12/1993; 199 ;SH3;;Nova Granada;SÃO JOSÉ DO RIO PRETO
NOVA GRANADA D;COMERCIALIZADA;30/12/2004; 200 ;Autoconstrução;;Nova Granada;SÃO JOSÉ DO RIO PRETO
NOVA GUATAPORANGA A;COMERCIALIZADA;29/02/1988; 40 ;Prog Municipal Habitação;;Nova Guataporanga;PRESIDENTE PRUDENTE
NOVA GUATAPORANGA B;COMERCIALIZADA;29/01/1992; 50 ;SH3;;Nova Guataporanga;PRESIDENTE PRUDENTE
NOVA GUATAPORANGA C;COMERCIALIZADA;01/07/2002; 50 ;Sonho Meu;;Nova Guataporanga;PRESIDENTE PRUDENTE
NOVA GUATAPORANGA D;COMERCIALIZADA;17/11/2012; 86 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Nova Guataporanga;PRESIDENTE PRUDENTE
NOVA GUATAPORANGA D;COMERCIALIZADA;31/12/2014; 1 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Nova Guataporanga;PRESIDENTE PRUDENTE
NOVA INDEPENDENCIA A;COMERCIALIZADA;23/11/1992; 30 ;SH3;;Nova Independência;ARAÇATUBA
NOVA INDEPENDENCIA B;COMERCIALIZADA;23/11/1992; 20 ;SH3;;Nova Independência;ARAÇATUBA
NOVA INDEPENDENCIA C;COMERCIALIZADA;15/11/2004; 24 ;Autoconstrução;;Nova Independência;ARAÇATUBA
NOVA INDEPENDENCIA D;COMERCIALIZADA;08/04/2005; 60 ;Autoconstrução;;Nova Independência;ARAÇATUBA
NOVA INDEPENDENCIA E;COMERCIALIZADA;06/09/2008; 30 ;Parceria com Municípios;;Nova Independência;ARAÇATUBA
NOVA INDEPENDENCIA F;COMERCIALIZADA;28/10/2010; 105 ;Parceria com Municípios;;Nova Independência;ARAÇATUBA
NOVA INDEPENDENCIA G;COMERCIALIZADA;30/12/2016; 104 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Nova Independência;ARAÇATUBA
NOVA LUZITANIA A1/A2;COMERCIALIZADA;27/12/1992; 107 ;SH3;;Nova Luzitânia;ARAÇATUBA
NOVA LUZITANIA B;COMERCIALIZADA;19/02/2001; 58 ;Sonho Meu;;Nova Luzitânia;ARAÇATUBA
NOVA LUZITANIA C;COMERCIALIZADA;23/12/2004; 155 ;Autoconstrução;;Nova Luzitânia;ARAÇATUBA
NOVA LUZITANIA D;COMERCIALIZADA;28/08/2008; 20 ;Parceria com Municípios;;Nova Luzitânia;ARAÇATUBA
NOVA LUZITANIA E;COMERCIALIZADA;28/08/2008; 14 ;Parceria com Municípios;;Nova Luzitânia;ARAÇATUBA
NOVA LUZITANIA F;COMERCIALIZADA;22/06/2013; 25 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Nova Luzitânia;ARAÇATUBA
NOVA LUZITANIA G;COMERCIALIZ. PARCIAL;16/09/2022; 64 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Nova Luzitânia;ARAÇATUBA
NOVA ODESSA A;COMERCIALIZADA;19/12/1992; 296 ;SH3;;Nova Odessa;CAMPINAS
NOVAIS A (ANTIGO TABAPUÃ A);COMERCIALIZADA;30/06/1988; 40 ;Prog Municipal Habitação;;Novais;SÃO JOSÉ DO RIO PRETO
NOVAIS B;COMERCIALIZADA;12/12/1998; 42 ;Sonho Meu;;Novais;SÃO JOSÉ DO RIO PRETO
NOVAIS C;COMERCIALIZADA;30/09/2002; 64 ;Sonho Meu;;Novais;SÃO JOSÉ DO RIO PRETO
NOVAIS D;COMERCIALIZADA;05/05/2018; 50 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Novais;SÃO JOSÉ DO RIO PRETO
NOVAIS D;COMERCIALIZADA;13/12/2018; 59 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Novais;SÃO JOSÉ DO RIO PRETO
NOVO HORIZONTE A1;COMERCIALIZADA;01/01/1978; 22 ;CEESP;;Novo Horizonte;SÃO JOSÉ DO RIO PRETO
NOVO HORIZONTE A2;COMERCIALIZADA;12/04/1991; 83 ;SH2;;Novo Horizonte;SÃO JOSÉ DO RIO PRETO
NOVO HORIZONTE B;COMERCIALIZADA;03/07/1999; 251 ;Sonho Meu;;Novo Horizonte;SÃO JOSÉ DO RIO PRETO
NOVO HORIZONTE D;COMERCIALIZADA;25/03/2000; 124 ;Sonho Meu;;Novo Horizonte;SÃO JOSÉ DO RIO PRETO
NOVO HORIZONTE D;COMERCIALIZADA;14/12/2000; 44 ;Sonho Meu;;Novo Horizonte;SÃO JOSÉ DO RIO PRETO
NOVO HORIZONTE D;COMERCIALIZADA;29/06/2001; 23 ;Sonho Meu;;Novo Horizonte;SÃO JOSÉ DO RIO PRETO
NOVO HORIZONTE D;COMERCIALIZADA;18/07/2001; 43 ;Sonho Meu;;Novo Horizonte;SÃO JOSÉ DO RIO PRETO
NOVO HORIZONTE E;COMERCIALIZADA;15/12/2005; 49 ;Autoconstrução;;Novo Horizonte;SÃO JOSÉ DO RIO PRETO
NOVO HORIZONTE E;COMERCIALIZADA;12/07/2006; 49 ;Autoconstrução;;Novo Horizonte;SÃO JOSÉ DO RIO PRETO
NUPORANGA A;COMERCIALIZADA;09/09/1991; 100 ;SH2;;Nuporanga;FRANCA
NUPORANGA C;COMERCIALIZADA;21/12/2007; 66 ;Parceria com Municípios;;Nuporanga;FRANCA
NUPORANGA D;COMERCIALIZADA;18/12/2017; 94 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Nuporanga;FRANCA
OCAUCU A;COMERCIALIZADA;04/07/2002; 30 ;Sonho Meu;;Ocauçu;MARÍLIA
OCAUCU B1;COMERCIALIZADA;19/12/2007; 56 ;Parceria com Municípios;;Ocauçu;MARÍLIA
OCAUCU B2;COMERCIALIZADA;19/12/2007; 56 ;Parceria com Municípios;;Ocauçu;MARÍLIA
OCAUCU C;COMERCIALIZADA;15/07/2010; 15 ;Parceria com Municípios;;Ocauçu;MARÍLIA
OCAUCU D;COMERCIALIZADA;27/12/2014; 70 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Ocauçu;MARÍLIA
OCAUCU E;COMERCIALIZADA;30/12/2020; 56 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Ocauçu;MARÍLIA
OLEO A;COMERCIALIZADA;28/10/1991; 63 ;SH3;;Óleo;MARÍLIA
OLEO B;COMERCIALIZADA;02/09/1997; 25 ;SH4;;Óleo;MARÍLIA
OLEO C;COMERCIALIZADA;14/07/2018; 54 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Óleo;MARÍLIA
OLIMPIA A1/A2;COMERCIALIZADA;01/01/1968; 50 ;CEESP;;Olímpia;BARRETOS
OLIMPIA A1/A2;COMERCIALIZADA;01/01/1977; 38 ;CEESP;;Olímpia;BARRETOS
OLIMPIA B;COMERCIALIZADA;27/07/1990; 91 ;SH2;;Olímpia;BARRETOS
OLIMPIA D;COMERCIALIZADA;10/06/1995; 70 ;SH3;;Olímpia;BARRETOS
OLIMPIA E;COMERCIALIZADA;10/06/1995; 98 ;SH3;;Olímpia;BARRETOS
OLIMPIA F (DISTR.DE BAGUACU);COMERCIALIZADA;21/10/1994; 202 ;SH3;;Olímpia;BARRETOS
OLIMPIA G;COMERCIALIZADA;12/12/2006; 140 ;Autoconstrução;;Olímpia;BARRETOS
OLIMPIA G2;COMERCIALIZADA;29/10/2013; 109 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Olímpia;BARRETOS
OLIMPIA H  (DISTRITO DE BAGUACU);COMERCIALIZADA;28/12/2016; 94 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Olímpia;BARRETOS
OLIMPIA H  (DISTRITO DE BAGUACU);COMERCIALIZADA;29/12/2017; 96 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Olímpia;BARRETOS
OLIMPIA H  (DISTRITO DE BAGUACU);COMERCIALIZADA;07/05/2018; 7 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Olímpia;BARRETOS
OLIMPIA I;COMERCIALIZADA;10/09/2021; 106 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Olímpia;BARRETOS
ONDA VERDE A;COMERCIALIZADA;26/09/1990; 66 ;SH2;;Onda Verde;SÃO JOSÉ DO RIO PRETO
ONDA VERDE B1;COMERCIALIZADA;18/07/1997; 150 ;SH4;;Onda Verde;SÃO JOSÉ DO RIO PRETO
ONDA VERDE B2;COMERCIALIZADA;19/05/2001; 11 ;Sonho Meu;;Onda Verde;SÃO JOSÉ DO RIO PRETO
ONDA VERDE C;COMERCIALIZADA;28/09/2012; 156 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Onda Verde;SÃO JOSÉ DO RIO PRETO
ONDA VERDE IV D;COMERCIALIZADA;15/07/2015; 40 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Onda Verde;SÃO JOSÉ DO RIO PRETO
ORIENTE A;COMERCIALIZADA;30/08/2003; 81 ;Autoconstrução;;Oriente;MARÍLIA
ORIENTE B;COMERCIALIZADA;19/06/2015; 79 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Oriente;MARÍLIA
ORINDIUVA A;COMERCIALIZADA;22/05/1993; 133 ;SH3;;Orindiúva;SÃO JOSÉ DO RIO PRETO
ORINDIUVA B;COMERCIALIZADA;12/05/1997; 192 ;SH4;;Orindiúva;SÃO JOSÉ DO RIO PRETO
ORINDIUVA C;COMERCIALIZADA;17/12/2009; 183 ;Parceria com Municípios;;Orindiúva;SÃO JOSÉ DO RIO PRETO
ORINDIUVA D;COMERCIALIZADA;10/09/2021; 80 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Orindiúva;SÃO JOSÉ DO RIO PRETO
ORLANDIA A;COMERCIALIZADA;01/11/1981; 388 ;PLANHAP;;Orlândia;FRANCA
ORLANDIA B;COMERCIALIZADA;26/12/1992; 530 ;SH3;;Orlândia;FRANCA
ORLANDIA B;COMERCIALIZADA;08/02/1994; 10 ;SH3;;Orlândia;FRANCA
ORLANDIA C1;COMERCIALIZADA;05/09/1997; 233 ;SH4;;Orlândia;FRANCA
ORLANDIA C2;COMERCIALIZADA;28/12/2000; 75 ;Sonho Meu;;Orlândia;FRANCA
ORLANDIA D;COMERCIALIZADA;17/04/2002; 51 ;Sonho Meu;;Orlândia;FRANCA
ORLANDIA D;COMERCIALIZADA;30/08/2002; 48 ;Sonho Meu;;Orlândia;FRANCA
ORLANDIA D;COMERCIALIZADA;01/04/2003; 48 ;Sonho Meu;;Orlândia;FRANCA
ORLANDIA D;COMERCIALIZADA;21/11/2003; 36 ;Sonho Meu;;Orlândia;FRANCA
ORLANDIA E;COMERCIALIZADA;27/12/2006; 48 ;Parceria com Municípios;;Orlândia;FRANCA
ORLANDIA E;COMERCIALIZADA;05/11/2008; 42 ;Parceria com Municípios;;Orlândia;FRANCA
ORLANDIA E;COMERCIALIZADA;01/10/2010; 22 ;Parceria com Municípios;;Orlândia;FRANCA
ORLANDIA F;COMERCIALIZADA;22/12/2013; 336 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Orlândia;FRANCA
OSASCO - R. VILA NOVA;COMERCIALIZADA;30/12/2008; 284 ;Parceria Associações e Cooperativas;;Osasco;METROPOLITANA SÃO PAULO
OSASCO (RODOANEL - JD.CONCEICAO);COMERCIALIZADA;30/01/2003; 566 ;Núcleo Habitacional por Empreitada;;Osasco;METROPOLITANA SÃO PAULO
OSASCO (RODOANEL- JD. PADROEIRA);COMERCIALIZADA;17/07/2004; 226 ;Núcleo Habitacional por Empreitada;;Osasco;METROPOLITANA SÃO PAULO
OSASCO D1 JD. PIRATININGA;COMERCIALIZADA;28/08/1996; 160 ;Mutirão;;Osasco;METROPOLITANA SÃO PAULO
OSASCO D2 JD. PIRATININGA;COMERCIALIZADA;01/11/1997; 540 ;Mutirão;;Osasco;METROPOLITANA SÃO PAULO
OSASCO F;COMERCIALIZADA;14/12/2002; 120 ;Mutirão;;Osasco;METROPOLITANA SÃO PAULO
OSASCO I01 (SABESP);COMERCIALIZADA;22/12/2011; 480 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Osasco;METROPOLITANA SÃO PAULO
OSASCO I02 (SABESP);COMERCIALIZADA;28/12/2013; 368 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Osasco;METROPOLITANA SÃO PAULO
OSASCO I02 (SABESP);COMERCIALIZADA;20/10/2015; 94 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Osasco;METROPOLITANA SÃO PAULO
OSASCO I02 (SABESP);COMERCIALIZADA;23/11/2015; 18 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Osasco;METROPOLITANA SÃO PAULO
OSASCO L (VIAOESTE);COMERCIALIZADA;17/11/2004; 72 ;Núcleo Habitacional por Empreitada;;Osasco;METROPOLITANA SÃO PAULO
OSASCO O/P (RMOSA-01);COMERCIALIZADA;01/10/2005; 160 ;Núcleo Habitacional por Empreitada;;Osasco;METROPOLITANA SÃO PAULO
OSASCO O/P (RMOSA-01);COMERCIALIZADA;28/04/2006; 160 ;Núcleo Habitacional por Empreitada;;Osasco;METROPOLITANA SÃO PAULO
OSASCO Q (RMOSA-02);COMERCIALIZADA;19/12/2003; 160 ;Núcleo Habitacional por Empreitada;;Osasco;METROPOLITANA SÃO PAULO
OSASCO S (RMOSA-07);COMERCIALIZADA;19/12/2003; 250 ;Núcleo Habitacional por Empreitada;;Osasco;METROPOLITANA SÃO PAULO
OSASCO U1/U2 (RMOSA-10);COMERCIALIZADA;01/07/2004; 160 ;Atuação em Favelas e Áreas de Risco;;Osasco;METROPOLITANA SÃO PAULO
OSASCO U1/U2 (RMOSA-10);COMERCIALIZADA;30/09/2004; 140 ;Atuação em Favelas e Áreas de Risco;;Osasco;METROPOLITANA SÃO PAULO
OSASCO W;COMERCIALIZADA;07/05/2022; 140 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Osasco;METROPOLITANA SÃO PAULO
OSCAR BRESSANE A;COMERCIALIZADA;07/09/1990; 50 ;SH2;;Oscar Bressane;MARÍLIA
OSCAR BRESSANE B;COMERCIALIZADA;26/06/1992; 48 ;SH3;;Oscar Bressane;MARÍLIA
OSCAR BRESSANE C;COMERCIALIZADA;06/05/1994; 48 ;SH4;;Oscar Bressane;MARÍLIA
OSCAR BRESSANE D1;COMERCIALIZADA;07/03/1998; 43 ;SH4;;Oscar Bressane;MARÍLIA
OSCAR BRESSANE D2/D3;COMERCIALIZADA;21/02/2001; 49 ;Sonho Meu;;Oscar Bressane;MARÍLIA
OSCAR BRESSANE E;COMERCIALIZADA;27/09/2006; 54 ;Autoconstrução;;Oscar Bressane;MARÍLIA
OSCAR BRESSANE F;COMERCIALIZADA;23/12/2009; 33 ;Parceria com Municípios;;Oscar Bressane;MARÍLIA
OSCAR BRESSANE G;COMERCIALIZADA;30/06/2017; 36 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Oscar Bressane;MARÍLIA
OSVALDO CRUZ A;COMERCIALIZADA;30/08/1993; 80 ;Prog Municipal Habitação;;Osvaldo Cruz;PRESIDENTE PRUDENTE
OSVALDO CRUZ B;COMERCIALIZADA;01/01/1983; 600 ;PROFILURB;;Osvaldo Cruz;PRESIDENTE PRUDENTE
OSVALDO CRUZ C;COMERCIALIZADA;28/09/1994; 300 ;SH3;;Osvaldo Cruz;PRESIDENTE PRUDENTE
OSVALDO CRUZ D;COMERCIALIZADA;02/07/2004; 35 ;Autoconstrução;;Osvaldo Cruz;PRESIDENTE PRUDENTE
OSVALDO CRUZ E;COMERCIALIZADA;01/10/2002; 130 ;Sonho Meu;;Osvaldo Cruz;PRESIDENTE PRUDENTE
OSVALDO CRUZ F;COMERCIALIZADA;01/10/2002; 124 ;Sonho Meu;;Osvaldo Cruz;PRESIDENTE PRUDENTE
OSVALDO CRUZ G;COMERCIALIZADA;27/12/2005; 302 ;Autoconstrução;;Osvaldo Cruz;PRESIDENTE PRUDENTE
OSVALDO CRUZ H;COMERCIALIZADA;12/11/2011; 101 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Osvaldo Cruz;PRESIDENTE PRUDENTE
OSVALDO CRUZ H;COMERCIALIZADA;31/12/2014; 1 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Osvaldo Cruz;PRESIDENTE PRUDENTE
OSVALDO CRUZ IX I;COMERCIALIZADA;18/12/2016; 210 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Osvaldo Cruz;PRESIDENTE PRUDENTE
OURINHOS A1;COMERCIALIZADA;30/07/1986; 74 ;Prog Municipal Habitação;;Ourinhos;MARÍLIA
OURINHOS A2;COMERCIALIZADA;16/11/1990; 228 ;SH2;;Ourinhos;MARÍLIA
OURINHOS B;COMERCIALIZADA;16/11/1990; 72 ;SH2;;Ourinhos;MARÍLIA
OURINHOS D1;COMERCIALIZADA;21/09/1992; 250 ;SH3;;Ourinhos;MARÍLIA
OURINHOS D1;COMERCIALIZADA;11/12/1992; 250 ;SH3;;Ourinhos;MARÍLIA
OURINHOS D2;COMERCIALIZADA;22/06/1995; 84 ;SH3;;Ourinhos;MARÍLIA
OURINHOS F;COMERCIALIZADA;01/05/1998; 84 ;Sonho Meu;;Ourinhos;MARÍLIA
OURINHOS F;COMERCIALIZADA;11/12/1998; 154 ;Sonho Meu;;Ourinhos;MARÍLIA
OURINHOS F;COMERCIALIZADA;13/07/1999; 120 ;Sonho Meu;;Ourinhos;MARÍLIA
OURINHOS F;COMERCIALIZADA;14/04/2000; 86 ;Sonho Meu;;Ourinhos;MARÍLIA
OURINHOS F;COMERCIALIZADA;29/12/2000; 79 ;Sonho Meu;;Ourinhos;MARÍLIA
OURINHOS G;COMERCIALIZADA;28/12/2005; 100 ;Parceria com Municípios;;Ourinhos;MARÍLIA
OURINHOS G;COMERCIALIZADA;28/07/2006; 91 ;Parceria com Municípios;;Ourinhos;MARÍLIA
OURINHOS G;COMERCIALIZADA;07/12/2007; 109 ;Parceria com Municípios;;Ourinhos;MARÍLIA
OURINHOS G;COMERCIALIZADA;04/07/2008; 72 ;Parceria com Municípios;;Ourinhos;MARÍLIA
OURINHOS G;COMERCIALIZADA;20/12/2008; 97 ;Parceria com Municípios;;Ourinhos;MARÍLIA
OURINHOS G;COMERCIALIZADA;12/02/2010; 75 ;Parceria com Municípios;;Ourinhos;MARÍLIA
OURINHOS G;COMERCIALIZADA;16/10/2010; 52 ;Parceria com Municípios;;Ourinhos;MARÍLIA
OURINHOS H;COMERCIALIZADA;12/11/2013; 81 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Ourinhos;MARÍLIA
OURINHOS I;COMERCIALIZADA;12/11/2013; 64 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Ourinhos;MARÍLIA
OURO VERDE A1;COMERCIALIZADA;27/09/1991; 36 ;SH3;;Ouro Verde;PRESIDENTE PRUDENTE
OURO VERDE A2;COMERCIALIZADA;27/09/1991; 36 ;SH3;;Ouro Verde;PRESIDENTE PRUDENTE
OURO VERDE B;COMERCIALIZADA;13/07/1996; 90 ;SH4;;Ouro Verde;PRESIDENTE PRUDENTE
OURO VERDE C;COMERCIALIZADA;16/03/2006; 108 ;Autoconstrução;;Ouro Verde;PRESIDENTE PRUDENTE
OURO VERDE D;COMERCIALIZADA;09/12/2020; 100 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Ouro Verde;PRESIDENTE PRUDENTE
OUROESTE A;COMERCIALIZADA;27/12/1992; 82 ;SH3;;Ouroeste;SÃO JOSÉ DO RIO PRETO
OUROESTE B;COMERCIALIZADA;06/02/2002; 71 ;Sonho Meu;;Ouroeste;SÃO JOSÉ DO RIO PRETO
OUROESTE C;COMERCIALIZADA;15/10/2004; 47 ;Autoconstrução;;Ouroeste;SÃO JOSÉ DO RIO PRETO
OUROESTE D;COMERCIALIZADA;23/12/2004; 103 ;Autoconstrução;;Ouroeste;SÃO JOSÉ DO RIO PRETO
OUROESTE E;COMERCIALIZADA;24/09/2010; 110 ;Parceria com Municípios;;Ouroeste;SÃO JOSÉ DO RIO PRETO
OUROESTE F;COMERCIALIZADA;24/09/2010; 19 ;Parceria com Municípios;;Ouroeste;SÃO JOSÉ DO RIO PRETO
OUROESTE IX G (SEDE);COMERCIALIZADA;30/12/2014; 108 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Ouroeste;SÃO JOSÉ DO RIO PRETO
PACAEMBU A;COMERCIALIZADA;23/12/1997; 164 ;SH4;;Pacaembu;PRESIDENTE PRUDENTE
PACAEMBU B;COMERCIALIZADA;28/05/1998; 147 ;SH4;;Pacaembu;PRESIDENTE PRUDENTE
PACAEMBU D;COMERCIALIZADA;08/12/2005; 44 ;Autoconstrução;;Pacaembu;PRESIDENTE PRUDENTE
PACAEMBU F - FASE 1;COMERCIALIZADA;13/08/2021; 100 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Pacaembu;PRESIDENTE PRUDENTE
PALESTINA A1;COMERCIALIZADA;19/07/1993; 200 ;SH3;;Palestina;SÃO JOSÉ DO RIO PRETO
PALESTINA A2;COMERCIALIZADA;19/07/1993; 44 ;SH3;;Palestina;SÃO JOSÉ DO RIO PRETO
PALESTINA B1/B2;COMERCIALIZADA;27/10/1997; 99 ;SH4;;Palestina;SÃO JOSÉ DO RIO PRETO
PALESTINA C;COMERCIALIZADA;24/11/2012; 84 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Palestina;SÃO JOSÉ DO RIO PRETO
PALMARES PAULISTA A1;COMERCIALIZADA;29/05/1996; 140 ;SH4;;Palmares Paulista;SÃO JOSÉ DO RIO PRETO
PALMARES PAULISTA A2;COMERCIALIZADA;31/03/1998; 80 ;SH4;;Palmares Paulista;SÃO JOSÉ DO RIO PRETO
PALMARES PAULISTA A3;COMERCIALIZADA;28/12/1999; 20 ;Sonho Meu;;Palmares Paulista;SÃO JOSÉ DO RIO PRETO
PALMARES PAULISTA A3;COMERCIALIZADA;11/04/2000; 20 ;Sonho Meu;;Palmares Paulista;SÃO JOSÉ DO RIO PRETO
PALMARES PAULISTA B;COMERCIALIZADA;05/02/2002; 35 ;Sonho Meu;;Palmares Paulista;SÃO JOSÉ DO RIO PRETO
PALMARES PAULISTA C;COMERCIALIZADA;26/07/2021; 190 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Palmares Paulista;SÃO JOSÉ DO RIO PRETO
PALMEIRA DO OESTE A;COMERCIALIZADA;29/02/1988; 42 ;Prog Municipal Habitação;;Palmeira d'Oeste;SÃO JOSÉ DO RIO PRETO
PALMEIRA DO OESTE B;COMERCIALIZADA;08/03/1991; 42 ;SH2;;Palmeira d'Oeste;SÃO JOSÉ DO RIO PRETO
PALMEIRA DO OESTE B;COMERCIALIZADA;15/10/1991; 4 ;SH2;;Palmeira d'Oeste;SÃO JOSÉ DO RIO PRETO
PALMEIRA DO OESTE C;COMERCIALIZADA;30/06/1989; 22 ;SH2;;Palmeira d'Oeste;SÃO JOSÉ DO RIO PRETO
PALMEIRA D'OESTE V D;COMERCIALIZADA;20/12/2001; 250 ;Sonho Meu;;Palmeira d'Oeste;SÃO JOSÉ DO RIO PRETO
PALMEIRA D'OESTE VI E;COMERCIALIZADA;23/12/2016; 117 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Palmeira d'Oeste;SÃO JOSÉ DO RIO PRETO
PALMITAL A;COMERCIALIZADA;11/04/2001; 50 ;Sonho Meu;;Palmital;MARÍLIA
PALMITAL B1;COMERCIALIZADA;03/06/1997; 202 ;SH4;;Palmital;MARÍLIA
PALMITAL B2;COMERCIALIZADA;25/05/1998; 65 ;Sonho Meu;;Palmital;MARÍLIA
PALMITAL C;COMERCIALIZADA;29/12/2005; 95 ;Autoconstrução;;Palmital;MARÍLIA
PALMITAL D;COMERCIALIZADA;17/09/2011; 50 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Palmital;MARÍLIA
PALMITAL E - BAIRRO SAO JOSE;COMERCIALIZADA;27/08/2015; 148 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Palmital;MARÍLIA
PANORAMA A;COMERCIALIZADA;27/12/1992; 30 ;SH3;;Panorama;PRESIDENTE PRUDENTE
PANORAMA C;COMERCIALIZADA;27/12/1992; 260 ;SH3;;Panorama;PRESIDENTE PRUDENTE
PANORAMA D;COMERCIALIZADA;27/12/1992; 34 ;SH3;;Panorama;PRESIDENTE PRUDENTE
PANORAMA E1;COMERCIALIZADA;29/01/1998; 64 ;SH4;;Panorama;PRESIDENTE PRUDENTE
PANORAMA E2;COMERCIALIZADA;09/08/2001; 48 ;Sonho Meu;;Panorama;PRESIDENTE PRUDENTE
PANORAMA F;COMERCIALIZADA;01/07/2002; 34 ;Sonho Meu;;Panorama;PRESIDENTE PRUDENTE
PANORAMA G1;COMERCIALIZADA;28/12/2013; 152 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Panorama;PRESIDENTE PRUDENTE
PANORAMA G1;COMERCIALIZADA;14/03/2014; 100 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Panorama;PRESIDENTE PRUDENTE
PANORAMA G2;COMERCIALIZADA;14/03/2014; 54 ;Requalificação Habitacional e Urbana;Reassentamento Habitacional;Panorama;PRESIDENTE PRUDENTE
PANORAMA G3;COMERCIALIZADA;28/12/2013; 24 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Panorama;PRESIDENTE PRUDENTE
PANORAMA H;COMERCIALIZADA;29/12/2017; 34 ;Requalificação Habitacional e Urbana;Reassentamento Habitacional;Panorama;PRESIDENTE PRUDENTE
PARAGUACU PAULISTA A1;COMERCIALIZADA;01/01/1979; 281 ;CEESP;;Paraguaçu Paulista;MARÍLIA
PARAGUACU PAULISTA A2/A3;COMERCIALIZADA;18/12/1989; 104 ;SH2;;Paraguaçu Paulista;MARÍLIA
PARAGUACU PAULISTA B;COMERCIALIZADA;15/02/1987; 60 ;Prog Municipal Habitação;;Paraguaçu Paulista;MARÍLIA
PARAGUACU PAULISTA C;COMERCIALIZADA;18/12/1989; 16 ;SH2;;Paraguaçu Paulista;MARÍLIA
PARAGUACU PAULISTA D1;COMERCIALIZADA;21/12/1990; 114 ;SH3;;Paraguaçu Paulista;MARÍLIA
PARAGUACU PAULISTA D1;COMERCIALIZADA;29/08/1991; 186 ;SH3;;Paraguaçu Paulista;MARÍLIA
PARAGUACU PAULISTA D2;COMERCIALIZADA;29/08/1991; 300 ;SH3;;Paraguaçu Paulista;MARÍLIA
PARAGUACU PAULISTA D3;COMERCIALIZADA;26/06/1992; 207 ;SH3;;Paraguaçu Paulista;MARÍLIA
PARAGUACU PAULISTA E;COMERCIALIZADA;31/07/1993; 40 ;SH3;;Paraguaçu Paulista;MARÍLIA
